Site,lat,long,Bathymetry,Zone
278,-23.498608,152.089929,-2.238175,Lagoon 1
279,-23.499372,152.089273,-2.375165,Lagoon 1
280,-23.500575,152.090116,-1.44158,Lagoon 1
281,-23.502535,152.089685,-1.485186,Lagoon 1
282,-23.503239,152.090114,-1.364838,Lagoon 1
283,-23.503287,152.090686,-1.412795,Lagoon 1
284,-23.50368,152.091469,-2.140797,Lagoon 1
285,-23.503872,152.092557,-2.719122,Lagoon 1
286,-23.504605,152.092442,-2.061802,Lagoon 1
287,-23.505553,152.091862,-1.483524,Lagoon 1
288,-23.505375,152.091382,-1.096372,Lagoon 1
289,-23.506204,152.088727,-1.52368,Lagoon 1
290,-23.507691,152.089863,-1.112633,Lagoon 1
291,-23.508833,152.090749,-0.887094,Lagoon 1
292,-23.510776,152.085543,-0.731946,Reef flat
293,-23.511118,152.085601,-0.592637,Reef flat
294,-23.512628,152.087393,-3.444955,Reef slope
295,-23.512386,152.086412,-2.153554,Reef slope
296,-23.510731,152.084255,-0.746999,Reef flat
297,-23.509705,152.082171,-0.785413,Lagoon 1
298,-23.508859,152.082788,-0.949303,Lagoon 1
299,-23.506231,152.083811,-0.886402,Lagoon 1
300,-23.507626,152.081916,-1.060476,Lagoon 1
301,-23.507981,152.07893,-1.007768,Lagoon 1
302,-23.509136,152.076103,-1.31303,Reef flat
303,-23.509272,152.073759,-0.606173,Reef flat
304,-23.509794,152.0725,-0.914699,Reef flat
305,-23.50798,152.070997,-1.236773,Reef flat
306,-23.505128,152.071607,-0.777662,Lagoon 1
307,-23.50375,152.069464,-0.76757,Lagoon 1
308,-23.501475,152.068215,-1.081459,Lagoon 1
309,-23.501412,152.066563,-1.085961,Lagoon 1
310,-23.501568,152.066085,-0.909834,Lagoon 2
311,-23.501819,152.065693,-1.00718,Lagoon 2
312,-23.502559,152.064928,-0.775067,Lagoon 2
313,-23.503223,152.064769,-0.753456,Lagoon 2
314,-23.503149,152.062939,-4.580862,Lagoon 2
315,-23.503612,152.062917,-3.385089,Lagoon 2
316,-23.504919,152.063682,-2.01848,Lagoon 2
