lat lon wh time ws
-23.501345 154.86108 1.6930001 11605.40805428964 6.42
-23.19414 154.02046 1.9755001 11607.406293809705 5.845
-23.493923 154.84897 0.57500005 11630.860302734363 1.23
-23.876057 154.01538 0.64050007 11632.858529730875 2.56
-23.50998 154.57648 0.85300004 11634.348993869382 4.17
-23.489532 154.5822 0.943 11659.801167173078 6.6
-23.504948 154.30069 1.07 11663.289885886887 6.345
-23.490486 154.31252 1.2260001 11688.742033691378 7.335
-23.501656 154.91333 1.6865001 11690.23243259004 10.969999
-23.428005 154.04657 2.3700001 11692.23071551288 11.025
-23.48693 154.9192 1.539 11715.684631618904 7.48
-23.557194 154.05289 1.9305001 11717.682915400772 8.26
-23.496523 154.65369 1.96 11744.625547869655 9.26
-23.494055 154.37332 2.2910001 11748.11425331398 7.27
-23.49638 154.38846 2.3590002 11773.56647479022 9.12
-23.617205 154.96057 1.644 11775.056926371297 6.99
-23.50137 154.0983 2.3130002 11777.055206321413 10.349999
-23.292526 154.96603 1.8040001 11800.509159161593 7.5499997
-23.5033 154.1135 1.8140001 11802.507420789974 6.255
-23.486782 154.71646 1.102 11803.997805627936 7.3549995
-23.514393 154.72198 1.9650002 11829.450022063102 8.65
-23.493473 154.45715 1.5885 11832.93868950737 7.635
-23.491896 154.45253 3.7990003 11858.390899793827 11.37
-23.954533 154.99985 2.752 11859.881397569436 8.9
-23.496288 154.17484 1.9905001 11861.879609827069 3.04
-23.494776 154.18083 1.6800001 11887.331770833349 10.099999
-23.485954 154.77829 1.4350001 11888.822186414967 4.49
-23.513208 154.78622 0.9850001 11914.274347104714 1.68
-23.495615 154.52205 1.526 11917.763015950564 10.46
-23.50774 154.50714 1.0065 11943.215269323264 3.8999999
-23.502659 154.2358 1.1865001 11946.703952817596 4.1549997
-23.496998 154.25006 1.1085 11972.156173299125 5.46
-23.487122 154.83621 0.90700006 11973.646599211555 5.5099998
-23.49267 154.85371 1.6380001 11999.098855590797 8.69
-23.828796 154.0159 2.5070002 12001.097096421989 11.129999
-23.492535 154.56802 2.844 12002.587570167845 10.86
-23.51096 154.59323 1.5505002 12028.039838997182 1.65
-23.493755 154.3178 1.567 12031.528521412052 8.08
-23.50328 154.32062 1.2255001 12056.980852050823 5.3849998
-23.492281 154.91466 1.07 12058.471248282003 7.5499997
-23.42242 154.04562 1.4995 12060.469544225605 8.15
-23.502073 154.92957 1.8900001 12083.923521773773 4.29
-23.52149 154.05646 2.282 12085.9218216507 8.8
-23.48712 154.63867 2.493 12087.412254593452 10.57
-23.499947 154.659 0.95900005 12112.864481879398 4.45
-23.512526 154.37904 1.046 12116.353183051222 6.8599997
-23.497036 154.37802 2.3935 12141.805458170595 9.355
